log_id,user_id,route_mode,start_location,end_location,start_lat,start_lon,end_lat,end_lon,total_distance_m,walking_distance_m,transport_modes,crosswalk_count,user_speed_factor,slope_factor,weather_factor,estimated_time_seconds,actual_time_seconds,time_difference_seconds,accuracy_percent,estimated_walk_time_seconds,walk_time_difference_seconds,walk_accuracy_percent,active_walking_time_seconds,paused_time_seconds,real_walking_speed_kmh,pause_count,weather_id,started_at,ended_at,created_at
43,25,transit,잠실역 2호선,마포구청역 6호선,37.513311,127.100231,37.563487,126.903426,28533.0,372.18,"[""SUBWAY""]",1,0.879,0.999,1.026,3594,3450,,,,,,249,3188,8.78,5,,2025-12-03T13:16:15.989000,2025-12-03T14:13:46.204000,2025-12-03T14:13:46.550662
37,25,transit,봉은사.코엑스북문,롯데월드타워,37.513838,127.058837,37.512604,127.102556,4728.0,,"[""BUS""]",2,0.879,1.003,1.047,1276,115,,,,,,0,0,,0,,2025-12-03T03:54:37.200000,2025-12-03T03:56:32.780000,2025-12-03T03:56:33.068450
36,25,transit,마포구 성산동 350-8,스타필드 코엑스몰,37.562917,126.903222,37.512923,127.058132,22559.0,,"[""BUS"", ""SUBWAY""]",0,1.0,1.006,1.031,2995,1,,,,,,0,0,,0,,2025-12-03T03:45:06.092000,2025-12-03T03:45:08.028000,2025-12-03T03:45:08.365368
31,25,transit,중구 필동3가 26-6,대명하이츠,37.559664,126.998594,37.535825,127.144021,15470.0,,"[""BUS""]",1,1.0,1.029,1.005,3300,3,,,,,,1,0,,0,,2025-12-02T07:15:04.967000,2025-12-02T07:15:08.552000,2025-12-02T07:15:08.850925
28,25,transit,마포구 망원동 473-22,동국대학교 신공학관,37.560769,126.903815,37.558056,126.998311,13116.0,194.31,"[""SUBWAY""]",2,0.879,1.047,1.022,2602,2595,,,,,,144,2449,4.86,1,,2025-12-02T00:00:50.185000,2025-12-02T00:44:05.904000,2025-12-02T00:44:06.307307
96,28,transit,Dongdaemun District 107,써브웨이 장안사거리점,37.562347,127.064552,37.572449,127.072945,1534.0,278.0,"[""BUS""]",3,1.0,1.001,0.975,605,1246,641,-5.95,349,-172,50.72,177,1069,5.65,5,,2025-12-07T10:41:36.011000,2025-12-07T11:02:22.944000,2025-12-07T11:02:22.802364
54,28,walking,아오내순대 코엑스몰점,스파크플러스 코엑스점,37.510403,127.05843,37.512833,127.057244,348.0,348.0,,0,0.714,1.024,1.038,237,355,,,,,,325,30,3.85,2,,2025-12-04T04:26:03.755000,2025-12-04T04:31:59.673000,2025-12-04T04:32:00.148037
53,28,walking,스파크플러스 코엑스점,아오내순대 코엑스몰점,37.512833,127.057244,37.510403,127.05843,348.0,348.0,,0,0.714,0.982,1.038,227,210,,,,,,208,0,6.01,0,,2025-12-04T03:31:52.016000,2025-12-04T03:35:22.577000,2025-12-04T03:35:22.222461
44,28,transit,잠실역 2호선,래미안장안2차아파트,37.513311,127.100231,37.573965,127.075388,13204.0,743.79,"[""BUS"", ""SUBWAY""]",1,1.0,1.004,1.026,2888,3623,,,,,,621,2947,6.98,13,,2025-12-03T13:15:42.199000,2025-12-03T14:16:05.619000,2025-12-03T14:16:06.032080
73,32,transit,운정중앙역 GTX-A,KFC 파주운정DI점,37.716127,126.728145,37.722646,126.738378,1876.0,415.0,"[""BUS""]",0,1.0,0.96,1.014,642,12,-630,1.87,375,,,,11,,1,,2025-12-05T07:14:28.296000,2025-12-05T07:14:40.511000,2025-12-05T07:14:40.984241
75,33,walking,강남구 대치동 953-13,투썸플레이스 포스코사거리점,37.504484,127.061007,37.506975,127.057992,506.0,506.0,,1,1.187,0.923,1.033,546,432,-114,79.12,546,-123,77.47,423,9,4.32,1,,2025-12-05T07:21:19.627000,2025-12-05T07:28:32.189000,2025-12-05T07:28:33.233319
74,33,walking,서울교회,휘문고등학교,37.496512,127.061355,37.504855,127.062606,1205.0,1205.0,,3,1.187,1.048,1.033,1518,1100,-418,72.46,1518,-577,61.99,941,158,4.61,5,,2025-12-05T06:59:47.779000,2025-12-05T07:18:08.142000,2025-12-05T07:18:09.316252
71,33,walking,도곡역 3호선,서울교회,37.490974,127.055499,37.496512,127.061355,1070.0,1070.0,,2,1.187,1.004,1.033,1255,882,-373,70.28,1255,-385,69.32,870,10,4.43,1,,2025-12-05T06:44:21.257000,2025-12-05T06:59:03.530000,2025-12-05T06:59:05.022032
70,33,walking,강남구 401,도곡역 3호선,37.49655,127.053038,37.490974,127.055499,670.0,670.0,,1,1.187,0.966,1.033,755,549,-206,72.72,755,-219,70.99,536,13,4.5,1,,2025-12-05T06:33:00.750000,2025-12-05T06:42:10.377000,2025-12-05T06:42:11.106167
68,33,walking,강남구 대치동 428,밀도 한티역점,37.503313,127.049733,37.497522,127.052675,710.0,710.0,,3,1.187,0.96,1.033,865,629,-236,72.72,865,-319,63.12,546,83,4.68,3,,2025-12-05T06:19:53.905000,2025-12-05T06:30:23.685000,2025-12-05T06:30:24.399964
66,33,transit,방배동 876-21번지 1층 서초구 서울특별시 KR,위워크 선릉 3호점,37.488144,126.994289,37.503355,127.049875,7762.0,408.0,"[""SUBWAY""]",2,1.0,1.019,1.022,1283,1587,304,76.31,468,92,80.34,560,1027,2.63,5,,2025-12-05T04:58:12.012000,2025-12-05T05:24:39.969000,2025-12-05T05:24:40.764332
86,35,walking,노원구 월계동 47-27,향토곱창,37.615055,127.064439,37.625522,127.072329,1895.0,1895.0,,6,0.815,0.997,0.994,1599,1494,-105,93.43,1599,-310,80.61,1289,205,5.29,7,,2025-12-06T09:36:20.502000,2025-12-06T10:01:14.865000,2025-12-06T10:01:15.675781
85,35,transit,공릉동 2 태능현대아파트,석계역문화공원,37.625133,127.081842,37.615086,127.064479,2172.0,767.0,"[""BUS""]",5,0.815,0.981,0.994,1232,2194,962,21.92,743,-169,77.25,574,1619,4.82,9,,2025-12-06T08:58:51.335000,2025-12-06T09:35:25.440000,2025-12-06T09:35:26.313808
84,35,walking,스타벅스 공릉역점,태릉해링턴플레이스아파트 정문,37.626423,127.072237,37.624979,127.081836,1146.0,1146.0,,3,0.795,1.047,0.994,972,941,-31,96.81,972,-79,91.87,893,47,4.61,2,,2025-12-06T08:40:00.399000,2025-12-06T08:55:41.638000,2025-12-06T08:55:42.452712
